Name,ReEncode-CPU,ReEncode-Wall,ccdclMinus-CPU,ccdclMinus-Wall,ccdcl-CPU,ccdcl-Wall,ccdclPlus-CPU,ccdclPlus-Wall,ReEncodePair-CPU,ReEncodePair-Wall
magicsq-3,0,0.01,0,0.02,0,0.01,0,0.01,0,0.02
magicsq-4,0.3,0.24,0.29,0.23,0.05,0.04,0.02,0.1,0.52,0.24
magicsq-5,78.58,79.36,4.89,4.87,0.59,0.59,4.78,4.83,9.61,9.63
magicsq-6,283.46,284.25,44.28,44.62,1.21,1.2,14.03,14.07,74.67,74.85
magicsq-7,1207.94,1211.47,1338.76,1340.7,15.84,15.85,137.57,137.73,397.06,397.39
magicsq-8,5000,5000,4569.09,4574.28,16.2,16.34,725.8,727.24,975.59,978.15
magicsq-9,5000,5000,5000,5000,76.36,76.61,5000,5000,1810.62,1815.91
magicsq-10,5000,5000,5000,5000,134.87,135.41,5000,5000,5000,5000
magicsq-11,5000,5000,5000,5000,252.38,252.8,3090.22,3092.66,5000,5000
magicsq-12,5000,5000,5000,5000,570.53,574.26,5000,5000,5000,5000
maxsquare-7-32-SAT,0,0.01,0.06,0.06,11.21,11.26,0.07,0.02,0,0.01
maxsquare-8-41-SAT,0.05,0.14,0,0.07,5000,5000,4.73,4.69,0.06,0.14
maxsquare-9-51-SAT,82.55,83.04,39.87,39.97,5000,5000,27.27,27.72,83.15,83.29
maxsquare-10-61-SAT,40.07,40.17,61.98,62.5,5000,5000,355.66,355.86,40.24,40.3
maxsquare-7-33-UNSAT,0.06,0.18,0.05,0.37,417.61,419.36,0.06,0.43,0.06,0.21
maxsquare-8-42-UNSAT,1.89,1.87,2.89,2.85,5000,5000,3.5,3.43,1.93,1.96
maxsquare-9-52-UNSAT,37.35,37.37,58.11,58.18,5000,5000,57.62,57.56,37.41,37.55
maxsquare-10-62-UNSAT,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000